"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","PSndvi_mean","PSndwi_mean"
"3255",3255,27100,4,"BN","NotDet",2,564.29,0.01,118.1164063,6,0,0,0,315.0851704,1438.145545,0,41,0,0,0,0.222222222,0,0,0.777777778,134.366,48.93342858,441.95,5.7,0,0.871788499,-0.743298254
"3257",3257,27100,6,"BN","Dry",1,564.29,0.01,118.1164063,6,0,0,0,315.0851704,1438.145545,0,41,0,0,0,0.222222222,0,0,0.777777778,77.978,5.041834104,441.84,5.57,-0.01,0.482624791,-0.582510193
"3263",3263,27150,6,"BN","Dry",1,564.7,0.02,118.2903125,8,0,0,0,362.9726015,1395.616099,0,41,0,0,0,0.125,0,0,0.875,77.978,5.041834104,441.84,5.57,-0.01,0.472273547,-0.571806526
"3269",3269,27200,6,"BN","Dry",1,565.48,0.03,118.3123438,9,0,0,0,407.2516608,1346.056067,0,41,0,0,0,0.333333333,0,0,0.666666667,77.978,5.041834104,441.84,5.57,-0.01,0.468419489,-0.56055139
"3275",3275,27250,6,"BN","Dry",1,564.65,0.01,118.3148438,5,0,0,0,454.9871504,1310.824486,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01,0.387716402,-0.50211339
"3281",3281,27300,6,"BN","Dry",1,564.12,0,118.3178125,8,0,0,0,495.8372034,1261.243094,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.389931847,-0.508091597
"3287",3287,27350,6,"BN","Dry",1,563.98,0,118.3185938,12,0,0,0,539.4149258,1211.355408,0,41,0,0,0,0.25,0,0,0.75,77.978,5.041834104,441.84,5.57,-0.01,0.429861094,-0.531571642
"3293",3293,27400,6,"BN","Dry",1,564.12,0,120.785,11,0,0,0,578.323787,1162.37933,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.455002322,-0.55136308
"3299",3299,27450,6,"BN","Dry",1,564.5,0.01,120.7857813,7,0,0,0,574.2019465,1151.053151,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.45497439,-0.557831147
"3305",3305,27500,6,"BN","Dry",1,564.63,0.01,120.7910938,6,0,0,0,534.7151293,1185.193725,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01,0.45885555,-0.558354201
"3311",3311,27550,6,"BN","NotDet",2,564.48,0,120.860625,7,0,0,0,549.0815589,1158.748046,0,15,0,0,0.25,0.5,0,0,0.25,77.978,5.041834104,441.84,5.57,-0.01,0.514446381,-0.596340573
"3317",3317,27600,6,"BN","NotDet",2,564.81,0.01,120.8609375,6,0,0,0,591.6610975,1119.027923,0,15,0,0.111111111,0.333333333,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.514598608,-0.596323374
"3323",3323,27650,6,"BN","NotDet",2,564.77,0.01,120.8620313,7,0,0,0,636.4449831,1081.628708,0,15,0,0.333333333,0.111111111,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.493264823,-0.581175485
"3329",3329,27700,6,"BN","NotDet",2,564.6,0.01,120.8626563,10,0,0,0,684.745166,1037.335744,0,15,0,0.25,0,0.625,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.501984436,-0.588358386
"3335",3335,27750,6,"BN","NotDet",2,564.98,0.01,120.8632813,13,0,0,0,726.6454247,991.0815274,0,15,0,0.333333333,0,0.666666667,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.560664532,-0.628322491
"3341",3341,27800,6,"BN","NotDet",2,565.12,0.01,121.0860938,10,0,0,0,770.4072749,943.8451411,0,15,0,0.375,0,0.625,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.592738995,-0.647287933
"3347",3347,27850,6,"BN","NotDet",2,564.88,0,121.0870313,7,0,0,0,815.6550776,903.4129407,0,15,0,0.25,0.25,0.375,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.576491314,-0.638733758
"3353",3353,27900,6,"BN","NotDet",2,564.8,0.02,121.0876563,6,0,0,0,807.8441598,926.0794539,0,12,0,0,0.5,0.5,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.511557171,-0.594271903
"3359",3359,27950,6,"BN","NotDet",2,564.66,0.02,121.088125,5,0,0,0,848.3074216,887.9596633,0,12,0,0.125,0.625,0.125,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.567854672,-0.632025871
"3365",3365,28000,6,"BN","NotDet",2,564.71,0.02,121.0895313,9,0,0,0,895.1714782,838.0471242,0,12,0,0.25,0.625,0.125,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.585378474,-0.640923509
"3371",3371,28050,6,"BN","NotDet",2,564.34,0.03,121.1728125,11,0,0,0,942.3577713,788.1034334,0,4,0,0.444444444,0.222222222,0.222222222,0.111111111,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.603171362,-0.650610041
"3377",3377,28100,6,"BN","NotDet",2,563.51,0.02,122.2907813,12,0,0,0,989.7317422,738.1537896,0,21,0,0.444444444,0,0,0.555555556,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.632738631,-0.670829118
"3383",3383,28150,6,"BN","NotDet",2,563.28,0.03,122.2990625,10,0,0,0,1036.637766,688.1924186,0,21,0,0.111111111,0,0.222222222,0.444444444,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.620894891,-0.664494567
"3389",3389,28200,6,"BN","Dry",1,563.15,0.02,122.3053125,8,0,0,0,1083.038957,638.2411938,0,15,0,0,0,0.555555556,0,0,0.444444444,77.978,5.041834104,441.84,5.57,-0.01,0.549198754,-0.625406599
"3395",3395,28250,6,"BN","Dry",1,562.6,0.01,124.870625,11,0,0,0,1131.082602,588.5831225,0,15,0,0,0.25,0.375,0,0,0.375,77.978,5.041834104,441.84,5.57,-0.01,0.569589505,-0.637756338
"3401",3401,28300,6,"BN","NotDet",2,562.9,0.03,124.87625,9,0,0,0,1180.692634,543.0467785,0,15,0,0,0.375,0.5,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.591047669,-0.650504619
"3407",3407,28350,6,"BN","NotDet",2,562.5,0.04,124.88125,9,0,0,0,1228.05314,505.5035269,0,15,0,0,0.333333333,0.444444444,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.592896616,-0.64687175
"3413",3413,28400,6,"BN","NotDet",2,561.92,0.04,127.4484375,12,0,0,0,1276.986262,460.6377678,0,15,0,0,0.125,0.875,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.578773927,-0.6394451
"3419",3419,28450,6,"BN","NotDet",2,561.57,0.04,127.4517188,9,0,0,0,1316.395918,441.0924729,0,15,0,0,0.111111111,0.666666667,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.566969074,-0.631123917
"3425",3425,28500,6,"BN","NotDet",2,561.06,0.02,127.705625,12,0,0,0,1352.883321,427.3263387,0,12,0,0,0.375,0.25,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.568430601,-0.627437172
"3431",3431,28550,6,"BN","NotDet",2,560.73,0.01,127.7121875,10,0,0,0,1402.886134,390.8313983,0,12,0,0.111111111,0.444444444,0.111111111,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.597824544,-0.638841943
"3437",3437,28600,6,"BN","NotDet",2,560.75,0.01,127.73875,8,0,0,0,1452.663287,360.8983717,0,12,0,0,0.444444444,0.222222222,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.593985516,-0.630144022
"3443",3443,28650,6,"BN","Dry",1,559.94,0,127.743125,8,0,0,0,1501.325354,329.162957,0,15,0,0,0.125,0.75,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.568547066,-0.621358774
"3449",3449,28700,6,"BN","Dry",1,559.35,0,127.748125,7,0,0,0,1508.585994,290.2904234,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.640764788,-0.633018288
"3455",3455,28750,6,"BN","Dry",1,559.48,0,127.7565625,7,0,0,0,1460.068616,320.0508859,0,15,0,0,0,0.75,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.644340776,-0.636224391
"3461",3461,28800,6,"BN","Dry",1,559.83,0,127.7634375,7,0,0,0,1445.968705,311.7192702,0,15,0,0,0,0.875,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.607507292,-0.624018766
"3467",3467,28850,6,"BN","Dry",1,560.06,0,127.860625,7,0,0,0,1486.994638,264.3819967,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.577572912,-0.604536535
"3473",3473,28900,6,"BN","Dry",1,560.36,0,127.8609375,6,0,0,0,1536.287295,232.2357716,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.599293102,-0.619725241
"3479",3479,28950,6,"BN","Dry",1,559.73,0,127.8801563,7,0,0,0,1569.386092,240.3345627,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.68014691,-0.668326415
"3485",3485,29000,6,"BN","Dry",1,559.38,0,129.9567188,10,0,0,0,1559.786437,288.0376557,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.61867698,-0.650504287
"3491",3491,29050,6,"BN","Dry",1,559.47,0,129.9657813,8,0,0,0,1593.418658,304.6573256,0,15,0,0,0.25,0.75,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.595437686,-0.643140472
"3497",3497,29100,6,"BN","Dry",1,559.31,0,129.96625,6,0,0,0,1628.311773,265.223288,0,15,0,0,0.333333333,0.666666667,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.589471376,-0.63052488
