"","Units","dates","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","PSndvi_mean","PSndwi_mean"
"68",250,"2022-12-07",766.625,NA,3773.418144,0.2525,NA,NA
"69",250,"2022-07-22",766.625,NA,3773.418144,0.2525,NA,NA
"70",250,"2022-08-11",766.625,NA,3773.418144,0.2525,NA,NA
"71",250,"2022-05-23",766.625,NA,3773.418144,0.2525,NA,NA
"72",250,"2022-08-27",766.625,NA,3773.418144,0.2525,NA,NA
"73",250,"2022-06-28",766.625,NA,3773.418144,0.2525,0.7048248,-0.673307078
"74",250,"2022-04-27",766.625,NA,3773.418144,0.2525,NA,NA
"75",250,"2022-09-20",766.625,NA,3773.418144,0.2525,NA,NA
"76",250,"2022-09-05",766.625,NA,3773.418144,0.2525,0.46,-0.56
"77",250,"2022-10-04",766.625,NA,3773.418144,0.2525,0.401580885184884,-0.515104521061229
"78",250,"2022-08-20",766.625,NA,3773.418144,0.2525,NA,NA
"79",300,"2022-12-07",766.4444444,NA,3738.364325,0.25359375,NA,NA
"80",300,"2022-07-11",766.4444444,NA,3738.364325,0.25359375,0.65561342908625,-0.656144611040751
"81",300,"2022-08-27",766.4444444,NA,3738.364325,0.25359375,NA,NA
"82",300,"2022-07-22",766.4444444,NA,3738.364325,0.25359375,NA,NA
"83",300,"2022-10-29",766.4444444,NA,3738.364325,0.25359375,NA,NA
"84",300,"2022-05-23",766.4444444,NA,3738.364325,0.25359375,NA,NA
"85",300,"2022-09-05",766.4444444,NA,3738.364325,0.25359375,0.46,-0.56
"86",300,"2022-06-28",766.4444444,NA,3738.364325,0.25359375,0.719857227,-0.685471014
"87",300,"2022-08-11",766.4444444,NA,3738.364325,0.25359375,NA,NA
"88",300,"2022-09-20",766.4444444,NA,3738.364325,0.25359375,NA,NA
"89",300,"2022-08-20",766.4444444,NA,3738.364325,0.25359375,NA,NA
"90",300,"2022-04-27",766.4444444,NA,3738.364325,0.25359375,NA,NA
"91",300,"2022-10-04",766.4444444,NA,3738.364325,0.25359375,0.401398257789372,-0.516472597054715
"92",350,"2022-12-07",765.8888889,NA,3707.213421,0.264375,NA,NA
"93",350,"2022-05-23",765.8888889,NA,3707.213421,0.264375,NA,NA
"94",350,"2022-08-27",765.8888889,NA,3707.213421,0.264375,NA,NA
"95",350,"2022-07-11",765.8888889,NA,3707.213421,0.264375,0.670636252283353,-0.664104515488385
"96",350,"2022-10-29",765.8888889,NA,3707.213421,0.264375,NA,NA
"97",350,"2022-09-20",765.8888889,NA,3707.213421,0.264375,NA,NA
"98",350,"2022-09-05",765.8888889,NA,3707.213421,0.264375,0.47,-0.56
"99",350,"2022-07-22",765.8888889,NA,3707.213421,0.264375,NA,NA
"100",350,"2022-08-11",765.8888889,NA,3707.213421,0.264375,NA,NA
"101",350,"2022-10-04",765.8888889,NA,3707.213421,0.264375,0.405981861857558,-0.517534871178435
"102",350,"2022-08-20",765.8888889,NA,3707.213421,0.264375,NA,NA
"103",350,"2022-06-28",765.8888889,NA,3707.213421,0.264375,0.732648878,-0.694541482
"104",350,"2022-04-27",765.8888889,NA,3707.213421,0.264375,NA,NA
"105",400,"2022-10-29",766,NA,3682.646131,0.26578125,NA,NA
"106",400,"2022-05-23",766,NA,3682.646131,0.26578125,NA,NA
"107",400,"2022-12-07",766,NA,3682.646131,0.26578125,NA,NA
"108",400,"2022-07-11",766,NA,3682.646131,0.26578125,0.675551529753084,-0.665102497279713
"109",400,"2022-08-11",766,NA,3682.646131,0.26578125,NA,NA
"110",400,"2022-09-20",766,NA,3682.646131,0.26578125,NA,NA
"111",400,"2022-08-27",766,NA,3682.646131,0.26578125,NA,NA
"112",400,"2022-07-22",766,NA,3682.646131,0.26578125,NA,NA
"113",400,"2022-04-27",766,NA,3682.646131,0.26578125,NA,NA
"114",400,"2022-10-04",766,NA,3682.646131,0.26578125,0.406603825251362,-0.517414342228612
"115",400,"2022-09-05",766,NA,3682.646131,0.26578125,0.47,-0.57
"116",400,"2022-06-28",766,NA,3682.646131,0.26578125,0.73670916,-0.696020437
"117",400,"2022-08-20",766,NA,3682.646131,0.26578125,NA,NA
"118",450,"2022-12-07",765.875,NA,3658.59718,0.2690625,NA,NA
"119",450,"2022-07-11",765.875,NA,3658.59718,0.2690625,0.674457880129498,-0.665246910904561
"120",450,"2022-05-23",765.875,NA,3658.59718,0.2690625,NA,NA
"121",450,"2022-07-22",765.875,NA,3658.59718,0.2690625,NA,NA
"122",450,"2022-08-11",765.875,NA,3658.59718,0.2690625,NA,NA
"123",450,"2022-10-29",765.875,NA,3658.59718,0.2690625,NA,NA
"124",450,"2022-08-27",765.875,NA,3658.59718,0.2690625,NA,NA
"125",450,"2022-06-28",765.875,NA,3658.59718,0.2690625,0.73140737,-0.693563902
"126",450,"2022-04-27",765.875,NA,3658.59718,0.2690625,NA,NA
"127",450,"2022-09-20",765.875,NA,3658.59718,0.2690625,NA,NA
"128",450,"2022-09-05",765.875,NA,3658.59718,0.2690625,0.47,-0.57
"129",450,"2022-10-04",765.875,NA,3658.59718,0.2690625,0.406513741787742,-0.518448645882594
"130",450,"2022-08-20",765.875,NA,3658.59718,0.2690625,NA,NA
"131",500,"2022-07-11",764.875,NA,3637.270248,0.26953125,0.675732034542751,-0.665140835402157
"132",500,"2022-10-29",764.875,NA,3637.270248,0.26953125,NA,NA
"133",500,"2022-09-20",764.875,NA,3637.270248,0.26953125,NA,NA
"134",500,"2022-08-27",764.875,NA,3637.270248,0.26953125,NA,NA
"135",500,"2022-05-23",764.875,NA,3637.270248,0.26953125,NA,NA
"136",500,"2022-12-07",764.875,NA,3637.270248,0.26953125,NA,NA
"137",500,"2022-10-04",764.875,NA,3637.270248,0.26953125,0.399577194067009,-0.517609915125959
"138",500,"2022-09-05",764.875,NA,3637.270248,0.26953125,0.47,-0.57
"139",500,"2022-07-22",764.875,NA,3637.270248,0.26953125,NA,NA
"140",500,"2022-08-11",764.875,NA,3637.270248,0.26953125,NA,NA
"141",500,"2022-08-20",764.875,NA,3637.270248,0.26953125,NA,NA
"142",500,"2022-06-28",764.875,NA,3637.270248,0.26953125,0.722036777,-0.687060337
"143",500,"2022-04-27",764.875,NA,3637.270248,0.26953125,NA,NA
"144",550,"2022-10-29",764.3333333,NA,3614.237654,0.408125,NA,NA
