"","Date","EP2","Comments"
"203",2022-06-28,0,NA
"204",2022-06-28,0,NA
"205",2022-06-29,0,NA
"206",2022-06-30,0,NA
"207",2022-07-01,0,NA
"208",2022-07-02,0,NA
"209",2022-07-03,0,NA
"210",2022-07-04,6.096,NA
"211",2022-07-05,0.254,NA
"212",2022-07-06,0,NA
"213",2022-07-07,2.54,NA
"214",2022-07-08,0.254,NA
"215",2022-07-09,0,NA
"216",2022-07-10,4.826,NA
"217",2022-07-11,0,NA
"218",2022-07-12,0,NA
"219",2022-07-13,0,NA
"220",2022-07-14,0,NA
"221",2022-07-15,0,NA
"222",2022-07-16,0,NA
"223",2022-07-17,0,NA
"224",2022-07-18,0,NA
"225",2022-07-19,0,NA
"226",2022-07-20,0,NA
"227",2022-07-21,0,NA
"228",2022-07-22,0,NA
"229",2022-07-23,0,NA
"230",2022-07-24,0,NA
"231",2022-07-25,0,NA
"232",2022-07-26,0,NA
"233",2022-07-27,0,NA
"234",2022-07-28,0,NA
"235",2022-07-29,0,NA
"236",2022-07-30,0,NA
"237",2022-07-31,0,NA
"238",2022-08-01,0,NA
"239",2022-08-02,0,NA
"240",2022-08-03,0,NA
"241",2022-08-04,11.4,"Preenchido EP1"
"242",2022-08-05,0.4,"Preenchido EP1"
"243",2022-08-06,0,"Preenchido EP1"
"244",2022-08-07,0,"Preenchido EP1"
"245",2022-08-08,0,"Preenchido EP1"
"246",2022-08-09,0,"Preenchido EP1"
"247",2022-08-10,0,"Preenchido EP1"
"248",2022-08-11,0,"Preenchido EP1"
"249",2022-08-12,0,"Preenchido EP1"
"250",2022-08-13,0,"Preenchido EP1"
"251",2022-08-14,0,"Preenchido EP1"
"252",2022-08-15,0,"Preenchido EP1"
"253",2022-08-16,0,"Preenchido EP1"
"254",2022-08-17,0,"Preenchido EP1"
"255",2022-08-18,0,"Preenchido EP1"
"256",2022-08-19,0,"Preenchido EP1"
"257",2022-08-20,0,"Preenchido EP1"
"258",2022-08-21,0,"Preenchido EP1"
"259",2022-08-22,0,"Preenchido EP1"
"260",2022-08-23,0,"Preenchido EP1"
"261",2022-08-24,0,"Preenchido EP1"
"262",2022-08-25,0,"Preenchido EP1"
"263",2022-08-26,0,"Preenchido EP1"
"264",2022-08-27,0,"Preenchido EP1"
"265",2022-08-28,0,"Preenchido EP1"
"266",2022-08-29,0,"Preenchido EP1"
"267",2022-08-30,0,"Preenchido EP1"
"268",2022-08-31,0,"Preenchido EP1"
"269",2022-09-01,0,"Preenchido EP1"
"270",2022-09-02,0,"Preenchido EP1"
"271",2022-09-03,0,"Preenchido EP1"
"272",2022-09-04,0,"Preenchido EP1"
"273",2022-09-05,0,"Preenchido EP1"
"274",2022-09-06,0,"Preenchido EP1"
"275",2022-09-07,0,"Preenchido EP1"
"276",2022-09-08,0,"Preenchido EP1"
"277",2022-09-09,0,"Preenchido EP1"
"278",2022-09-10,0,"Preenchido EP1"
"279",2022-09-11,0,"Preenchido EP1"
"280",2022-09-12,0,"Preenchido EP1"
"281",2022-09-13,0,"Preenchido EP1"
"282",2022-09-14,0,"Preenchido EP1"
"283",2022-09-15,0,"Preenchido EP1"
"284",2022-09-16,0,"Preenchido EP1"
"285",2022-09-17,0,"Preenchido EP1"
"286",2022-09-18,0,"Preenchido EP1"
"287",2022-09-19,0,"Preenchido EP1"
"288",2022-09-20,0,"Preenchido EP1"
"289",2022-09-21,0,"Preenchido EP1"
"290",2022-09-22,0,"Preenchido EP1"
"291",2022-09-23,0,"Preenchido EP1"
"292",2022-09-24,0,"Preenchido EP1"
"293",2022-09-25,0.4,"Preenchido EP1"
"294",2022-09-26,0.2,"Preenchido EP1"
"295",2022-09-27,0,"Preenchido EP1"
"296",2022-09-28,0,"Preenchido EP1"
"297",2022-09-29,0,"Preenchido EP1"
"298",2022-09-30,0,"Preenchido EP1"
"299",2022-10-01,0,"Preenchido EP1"
"300",2022-10-02,0,"Preenchido EP1"
"301",2022-10-03,0,"Preenchido EP1"
"302",2022-10-04,0,"Preenchido EP1"
"303",2022-10-05,0,"Preenchido EP1"
"304",2022-10-06,0,"Preenchido EP1"
"305",2022-10-07,0,"Preenchido EP1"
"306",2022-10-08,0,"Preenchido EP1"
"307",2022-10-09,0,"Preenchido EP1"
"308",2022-10-10,0,"Preenchido EP1"
"309",2022-10-11,0,"Preenchido EP1"
"310",2022-10-12,0,"Preenchido EP1"
"311",2022-10-13,0,"Preenchido EP1"
"312",2022-10-14,0,"Preenchido EP1"
"313",2022-10-15,0,"Preenchido EP1"
"314",2022-10-16,0,"Preenchido EP1"
"315",2022-10-17,0,"Preenchido EP1"
"316",2022-10-18,0,"Preenchido EP1"
"317",2022-10-19,0,"Preenchido EP1"
"318",2022-10-20,0,"Preenchido EP1"
"319",2022-10-21,0,"Preenchido EP1"
"320",2022-10-22,0,"Preenchido EP1"
"321",2022-10-23,0,"Preenchido EP1"
"322",2022-10-24,0,"Preenchido EP1"
"323",2022-10-25,0,"Preenchido EP1"
"324",2022-10-26,0,"Preenchido EP1"
"325",2022-10-27,0,"Preenchido EP1"
"326",2022-10-28,0,"Preenchido EP1"
