"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3"
"3177",3177,26450,4,"BN","NotDet",2,564.83,0.01,117.71625,8,39.11111111,13.66666667,9,2336.451039,297.4535912,0,3,1,0,0,0,0,0,0,134.366,48.93342858,441.95,5.7,0
"3179",3179,26450,6,"BN","Dry",1,564.83,0.01,117.71625,8,39.11111111,13.66666667,9,2336.451039,297.4535912,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3183",3183,26500,4,"BN","NotDet",2,564.58,0.01,117.7284375,7,41,14.83333333,12,2369.915897,255.2301613,0,3,1,0,0,0,0,0,0,134.366,48.93342858,441.95,5.7,0
"3185",3185,26500,6,"BN","Dry",1,564.58,0.01,117.7284375,7,41,14.83333333,12,2369.915897,255.2301613,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3189",3189,26550,4,"BN","NotDet",2,564.74,0.01,117.79,6,44.77777778,16,9,2409.621481,211.114881,0,3,1,0,0,0,0,0,0,134.366,48.93342858,441.95,5.7,0
"3191",3191,26550,6,"BN","Dry",1,564.74,0.01,117.79,6,44.77777778,16,9,2409.621481,211.114881,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3195",3195,26600,4,"BN","Partially",3,565.15,0.02,117.793125,6,49.3,18.6,10,2454.104508,165.5557598,0,3,1,0,0,0,0,0,0,134.366,48.93342858,441.95,5.7,0
"3197",3197,26600,6,"BN","Dry",1,565.15,0.02,117.793125,6,49.3,18.6,10,2454.104508,165.5557598,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3201",3201,26650,4,"BN","Partially",3,564.02,0.01,117.805,6,49.55555556,21.11111111,9,2503.242065,116.6920113,0,3,0.777777778,0,0,0,0,0.222222222,0,134.366,48.93342858,441.95,5.7,0
"3203",3203,26650,6,"BN","Dry",1,564.02,0.01,117.805,6,49.55555556,21.11111111,9,2503.242065,116.6920113,0,3,0.777777778,0,0,0,0,0.222222222,0,77.978,5.041834104,441.84,5.57,-0.01
"3207",3207,26700,4,"BN","Wet",4,562.77,0,117.8092188,7,66,31.4,10,0,0,1,33,0.222222222,0,0,0,0,0.777777778,0,134.366,48.93342858,441.95,5.7,0
"3209",3209,26700,6,"BN","Wet",4,562.77,0,117.8092188,7,66,31.4,10,0,0,1,33,0.222222222,0,0,0,0,0.777777778,0,77.978,5.041834104,441.84,5.57,-0.01
"3213",3213,26750,4,"BN","Wet",4,562.9,0,117.971875,7,61.33333333,29.55555556,6,0,0,1,33,0,0,0,0,0.222222222,0.777777778,0,134.366,48.93342858,441.95,5.7,0
