"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"18",3281,27300,6,"BN","Dry",1,564.12,0,118.3178125,8,0,0,0,495.8372034,1261.243094,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.172057917,-0.208380961,-0.263527597,-0.084132223,-0.143694495,-0.341680555,5,0,0,0,0,0,1,0,0
"19",3287,27350,6,"BN","Dry",1,563.98,0,118.3185938,12,0,0,0,539.4149258,1211.355408,0,41,0,0,0,0.25,0,0,0.75,77.978,5.041834104,441.84,5.57,-0.01,0.198828195,-0.222967396,-0.252742814,-0.052342402,-0.111974377,-0.326686407,5,0,0,0,0,0,1,0,0
"20",3293,27400,6,"BN","Dry",1,564.12,0,120.785,11,0,0,0,578.323787,1162.37933,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.203652695,-0.222662161,-0.260276581,-0.054931313,-0.11602577,-0.330146106,5,0,0,0,0,0,1,0,0
"21",3299,27450,6,"BN","Dry",1,564.5,0.01,120.7857813,7,0,0,0,574.2019465,1151.053151,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01,0.195458923,-0.213651195,-0.274123158,-0.074164752,-0.132285341,-0.336383195,5,0,0,0,0,0,1,0,0
"22",3305,27500,6,"BN","Dry",1,564.63,0.01,120.7910938,6,0,0,0,534.7151293,1185.193725,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01,0.196063622,-0.212922739,-0.268935376,-0.069842916,-0.128532058,-0.332308655,5,0,0,0.166666667,0,0,0.833333333,0,0
"23",3311,27550,6,"BN","NotDet",2,564.48,0,120.860625,7,0,0,0,549.0815589,1158.748046,0,15,0,0,0.25,0.5,0,0,0.25,77.978,5.041834104,441.84,5.57,-0.01,0.198313981,-0.19483993,-0.268116474,-0.070258862,-0.126996151,-0.314100436,5,0,0,0.051948052,0,0,0.948051948,0,0
"24",3317,27600,6,"BN","NotDet",2,564.81,0.01,120.8609375,6,0,0,0,591.6610975,1119.027923,0,15,0,0.111111111,0.333333333,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.188534508,-0.183083267,-0.269807912,-0.079064832,-0.134175485,-0.309680104,5,0,0,0,0,0,1,0,0
"25",3323,27650,6,"BN","NotDet",2,564.77,0.01,120.8620313,7,0,0,0,636.4449831,1081.628708,0,15,0,0.333333333,0.111111111,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.18824309,-0.190920231,-0.264315599,-0.074742724,-0.129891284,-0.312998301,5,0,0,0,0,0,0.923076923,0.076923077,0
"26",3329,27700,6,"BN","NotDet",2,564.6,0.01,120.8626563,10,0,0,0,684.745166,1037.335744,0,15,0,0.25,0,0.625,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.195492372,-0.199207545,-0.260968095,-0.06319182,-0.119822377,-0.311487958,5,0,0,0,0,0,0.775,0.225,0
"27",3335,27750,6,"BN","NotDet",2,564.98,0.01,120.8632813,13,0,0,0,726.6454247,991.0815274,0,15,0,0.333333333,0,0.666666667,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.223857088,-0.21433664,-0.261425009,-0.042074706,-0.10070432,-0.308315069,5,0,0,0,0,0,0.584415584,0.415584416,0
